open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1590969600000,9448.27000000,9451.74000000,9421.67000000,9432.64000000,270.66095300,1590969899999,2554287.35537165,3647,141.84146300,1338587.22193661,0
1590969900000,9432.63000000,9480.82000000,9431.81000000,9476.37000000,220.58944300,1590970199999,2086990.40011170,2752,139.59768700,1320600.50297823,0
1590970200000,9475.94000000,9493.11000000,9474.31000000,9483.13000000,216.23840600,1590970499999,2050987.49566989,3174,129.17672500,1225203.20287347,0
1590970500000,9483.25000000,9497.91000000,9479.52000000,9480.08000000,202.44950500,1590970799999,1921115.83616110,2789,112.07840400,1063605.23427374,0
1590970800000,9480.09000000,9493.57000000,9475.01000000,9486.20000000,83.42352400,1590971099999,791305.67554543,1711,41.06546400,389536.69748328,0
1590971100000,9486.20000000,9490.00000000,9473.65000000,9488.03000000,130.41150200,1590971399999,1236505.53260210,1551,66.49817400,630551.95345147,0
1590971400000,9488.02000000,9493.50000000,9466.13000000,9473.28000000,111.88271800,1590971699999,1060698.80280052,1950,44.88944500,425509.96430907,0
1590971700000,9472.49000000,9484.74000000,9461.55000000,9482.60000000,86.43192800,1590971999999,818682.58658773,1505,52.17481000,494204.92005352,0
1590972000000,9483.06000000,9485.00000000,9465.72000000,9465.73000000,51.06574300,1590972299999,483997.54724628,1433,23.79411200,225547.74257064,0
1590972300000,9465.73000000,9488.32000000,9465.73000000,9483.51000000,98.82284100,1590972599999,936774.21367325,1706,53.40610500,506165.91403206,0
1590972600000,9483.45000000,9493.57000000,9480.81000000,9483.71000000,73.13784600,1590972899999,693814.57691896,1677,41.56180800,394262.82585737,0
1590972900000,9485.27000000,9508.57000000,9484.33000000,9498.31000000,197.01150800,1590973199999,1871256.21831630,2753,103.96373600,987488.49160561,0
1590973200000,9498.78000000,9505.90000000,9486.55000000,9492.59000000,121.17955600,1590973499999,1150626.38496699,1932,61.07722600,579901.73054217,0
1590973500000,9492.59000000,9496.33000000,9481.27000000,9487.59000000,127.63033100,1590973799999,1211118.52475723,1754,52.49692400,498152.95167529,0
1590973800000,9486.53000000,9487.36000000,9474.03000000,9476.49000000,91.53772400,1590974099999,867740.82331221,1837,33.30243400,315717.52826850,0
1590974100000,9476.48000000,9477.71000000,9465.30000000,9470.11000000,111.36953300,1590974399999,1054880.08554289,1738,40.76229300,386107.75948085,0
1590974400000,9469.47000000,9484.17000000,9469.47000000,9481.65000000,78.37619100,1590974699999,742852.91086554,1708,39.29849400,372485.85033271,0
1590974700000,9481.77000000,9497.00000000,9480.17000000,9495.82000000,97.85247900,1590974999999,928644.45767908,1917,48.95357800,464588.45054890,0
1590975000000,9496.31000000,9507.00000000,9485.97000000,9506.66000000,184.15945500,1590975299999,1748693.24807250,2930,122.84951000,1166629.57174210,0
1590975300000,9506.99000000,9519.42000000,9503.03000000,9518.84000000,297.77471000,1590975599999,2831956.52090373,2327,157.97773800,1502360.93730288,0
1590975600000,9518.84000000,9521.99000000,9506.71000000,9512.49000000,153.87136900,1590975899999,1464093.48550040,1861,77.71820100,739538.89520559,0
1590975900000,9511.74000000,9519.98000000,9502.01000000,9519.07000000,97.93000400,1590976199999,931389.02186424,1535,49.71041600,472858.52221062,0
1590976200000,9519.06000000,9530.91000000,9514.88000000,9530.91000000,194.27998000,1590976499999,1850160.80515063,2231,111.87357600,1065457.85011843,0
1590976500000,9530.72000000,9570.00000000,9528.03000000,9551.58000000,508.41687800,1590976799999,4855628.58649623,5126,305.75182800,2920303.63792941,0
1590976800000,9551.17000000,9560.04000000,9537.02000000,9539.01000000,166.62499700,1590977099999,1590811.90900370,2077,103.71673000,990313.06500584,0
1590977100000,9539.00000000,9560.72000000,9533.34000000,9555.21000000,194.28700300,1590977399999,1854683.03144082,2143,115.43613800,1101975.20088874,0
1590977400000,9554.61000000,9568.61000000,9541.75000000,9547.21000000,172.52072000,1590977699999,1648954.00835718,2719,45.98346400,439537.48682792,0
1590977700000,9546.77000000,9549.82000000,9526.87000000,9531.03000000,157.25769300,1590977999999,1499727.59301765,2332,57.41116800,547508.25483101,0
1590978000000,9530.88000000,9554.58000000,9530.21000000,9550.00000000,208.77146000,1590978299999,1993318.80460666,2140,85.13805300,812806.15533767,0
1590978300000,9549.99000000,9559.00000000,9537.17000000,9541.61000000,404.31086100,1590978599999,3860760.70062662,2132,95.77795400,914311.37637909,0
1590978600000,9541.60000000,9546.23000000,9532.14000000,9540.14000000,92.80256000,1590978899999,885274.68264375,1741,43.55713200,415499.74033785,0
1590978900000,9540.14000000,9560.00000000,9538.01000000,9553.58000000,125.17538000,1590979199999,1195746.43562808,2163,59.96575700,572911.55212930,0
1590979200000,9553.43000000,9556.92000000,9536.66000000,9538.27000000,124.47919500,1590979499999,1188202.66349959,1717,35.21571500,336121.83395235,0
1590979500000,9538.59000000,9553.59000000,9538.59000000,9547.17000000,133.21427900,1590979799999,1271738.15313116,1632,51.83511900,494824.33921052,0
1590979800000,9547.17000000,9552.61000000,9528.42000000,9535.34000000,126.18682400,1590980099999,1203720.98923482,1740,40.75288400,388725.09842384,0
1590980100000,9535.36000000,9540.00000000,9530.66000000,9530.67000000,79.32575600,1590980399999,756352.53143526,1414,37.01320700,352862.67210453,0
1590980400000,9531.70000000,9553.68000000,9531.69000000,9542.87000000,123.62518800,1590980699999,1180138.95094349,1835,42.36463500,404429.69156990,0
1590980700000,9542.85000000,9551.01000000,9531.43000000,9535.64000000,106.30853700,1590980999999,1014332.83789302,1472,44.37531200,423429.66765510,0
1590981000000,9535.34000000,9537.66000000,9514.65000000,9533.78000000,367.95805600,1590981299999,3503260.98286233,2436,268.80013200,2558970.82222287,0
1590981300000,9533.20000000,9535.00000000,9520.00000000,9525.69000000,103.46150900,1590981599999,985792.78280570,1464,55.08868900,524910.12925664,0
1590981600000,9524.44000000,9537.00000000,9524.44000000,9535.72000000,46.71460300,1590981899999,445230.02956137,1133,28.45825500,271234.87290226,0
1590981900000,9536.12000000,9550.00000000,9536.03000000,9546.47000000,80.37580000,1590982199999,767085.08954962,1496,36.09725100,344501.24748275,0
1590982200000,9547.18000000,9554.63000000,9543.20000000,9549.62000000,117.32113300,1590982499999,1120328.33553063,1572,69.41239100,662874.44074959,0
1590982500000,9548.90000000,9549.43000000,9540.00000000,9546.68000000,96.78822800,1590982799999,923828.34014419,1301,34.92341900,333327.48530667,0
1590982800000,9546.90000000,9571.66000000,9545.32000000,9555.00000000,183.15457800,1590983099999,1750714.38521365,2030,107.50851400,1027860.79538667,0
1590983100000,9555.01000000,9564.11000000,9545.00000000,9545.00000000,158.12086600,1590983399999,1510723.75703757,1916,61.04533600,583414.63250585,0
1590983400000,9545.01000000,9563.12000000,9541.17000000,9555.45000000,157.54736300,1590983699999,1504650.81216827,1979,88.11849800,841547.01872876,0
1590983700000,9555.46000000,9560.45000000,9545.69000000,9555.79000000,79.26311700,1590983999999,757223.18731844,1464,27.21060500,259963.02396610,0
1590984000000,9556.14000000,9570.85000000,9556.14000000,9561.71000000,234.38630900,1590984299999,2241831.60869488,2182,137.61240700,1316251.36487791,0
1590984300000,9561.33000000,9565.86000000,9558.58000000,9563.64000000,117.00751700,1590984599999,1118807.88167340,1434,38.01155500,363441.34602861,0
1590984600000,9562.76000000,9581.00000000,9562.76000000,9579.78000000,248.68701000,1590984899999,2380752.74582555,2513,146.52254400,1402806.81575179,0
1590984900000,9580.62000000,9597.41000000,9580.00000000,9588.73000000,475.79060400,1590985199999,4562843.35012463,3996,259.59917800,2489473.51050961,0
1590985200000,9588.73000000,9619.00000000,9578.00000000,9580.53000000,652.33524000,1590985499999,6260956.39462070,5131,306.12117300,2938827.39778251,0
1590985500000,9579.33000000,9588.56000000,9560.25000000,9567.72000000,225.52421900,1590985799999,2158879.02183055,2944,74.25051900,711016.67403919,0
1590985800000,9568.06000000,9573.60000000,9551.02000000,9555.98000000,153.63905100,1590986099999,1468885.88241443,1938,68.38958900,653825.55078392,0
1590986100000,9555.98000000,9566.43000000,9550.28000000,9561.96000000,110.72282500,1590986399999,1058430.89620850,1492,35.48939900,339212.07646101,0
1590986400000,9561.96000000,9568.93000000,9550.00000000,9565.99000000,195.65910800,1590986699999,1869737.23098101,1888,86.60646900,827614.67336377,0
1590986700000,9565.58000000,9567.09000000,9550.00000000,9552.46000000,150.81623300,1590986999999,1441631.73054474,1681,93.40882000,892808.19846559,0
1590987000000,9552.49000000,9563.32000000,9543.44000000,9554.20000000,109.79346400,1590987299999,1048708.11622926,1770,53.46421300,510737.79770251,0
1590987300000,9554.20000000,9554.92000000,9541.96000000,9549.02000000,113.15063900,1590987599999,1080364.31008377,1705,53.75384900,513211.39839155,0
1590987600000,9549.02000000,9554.07000000,9541.53000000,9543.97000000,93.61601300,1590987899999,893892.03726284,1423,36.23736400,345977.09703017,0
1590987900000,9543.94000000,9555.91000000,9538.21000000,9546.13000000,149.85689200,1590988199999,1430453.51388630,2066,83.65050600,798440.98439157,0
1590988200000,9546.14000000,9551.75000000,9538.21000000,9544.56000000,109.47368100,1590988499999,1044804.90842168,1427,49.42260500,471716.66816682,0
1590988500000,9544.56000000,9545.23000000,9536.88000000,9541.96000000,95.62785700,1590988799999,912448.93846807,1365,49.76865800,474920.12057693,0
1590988800000,9541.65000000,9550.00000000,9536.67000000,9548.02000000,97.87718800,1590989099999,933993.19634138,1261,65.27790800,622873.04392761,0
1590989100000,9547.00000000,9549.32000000,9537.15000000,9546.43000000,88.24248000,1590989399999,842256.73272002,1489,36.26612600,346146.82000215,0
1590989400000,9546.10000000,9563.42000000,9545.01000000,9556.30000000,127.56463400,1590989699999,1218838.37087772,1967,75.00333900,716562.88174021,0
1590989700000,9556.59000000,9566.00000000,9545.31000000,9549.23000000,161.73099300,1590989999999,1545309.60230231,2192,77.48823700,740497.69272382,0
1590990000000,9548.97000000,9552.08000000,9538.61000000,9543.18000000,138.47238600,1590990299999,1321850.06348280,1856,65.95443800,629610.39739391,0
1590990300000,9543.53000000,9548.77000000,9540.01000000,9543.51000000,69.78724100,1590990599999,666085.88978583,1261,50.42304900,481265.80015052,0
1590990600000,9543.67000000,9545.19000000,9534.08000000,9537.50000000,114.27370700,1590990899999,1090171.11659349,1576,52.26607400,498626.26134070,0
1590990900000,9537.21000000,9545.53000000,9526.20000000,9536.88000000,165.32982600,1590991199999,1576194.08369741,2266,74.03933400,705825.19811791,0
1590991200000,9536.33000000,9549.70000000,9530.70000000,9539.29000000,185.51773400,1590991499999,1769976.30976481,2183,93.97704900,896692.98542666,0
1590991500000,9539.28000000,9549.29000000,9539.00000000,9545.00000000,91.99999100,1590991799999,878066.61990847,1918,34.78131400,331963.08386411,0
1590991800000,9545.01000000,9550.00000000,9540.90000000,9549.38000000,72.22678700,1590992099999,689566.91487552,1418,27.21335300,259811.99192788,0
1590992100000,9549.38000000,9549.39000000,9529.24000000,9532.44000000,261.50679900,1590992399999,2494015.26751351,2794,96.26637400,918118.75740010,0
1590992400000,9532.69000000,9546.65000000,9531.94000000,9545.08000000,94.30199800,1590992699999,899575.80007309,1530,40.83196000,389507.29217273,0
1590992700000,9545.10000000,9554.91000000,9540.99000000,9549.27000000,134.29525600,1590992999999,1282266.24062316,1412,76.48346900,730330.83885388,0
1590993000000,9549.29000000,9559.00000000,9548.21000000,9554.19000000,123.49070800,1590993299999,1179816.39277276,1615,67.69947700,646820.60881223,0
1590993300000,9554.69000000,9557.35000000,9547.26000000,9550.38000000,90.84746300,1590993599999,867690.22278109,1395,54.29377200,518543.60566430,0
1590993600000,9550.38000000,9561.00000000,9548.35000000,9560.76000000,132.09772800,1590993899999,1262195.93245075,1511,56.46655800,539581.12743400,0
1590993900000,9560.83000000,9560.85000000,9545.03000000,9546.38000000,91.15317500,1590994199999,870756.60394948,1627,42.88485300,409646.47506292,0
1590994200000,9546.10000000,9553.33000000,9540.27000000,9544.87000000,117.69886000,1590994499999,1123618.76688002,1866,82.74490100,789979.36047457,0
1590994500000,9544.87000000,9546.92000000,9534.97000000,9537.66000000,113.83517700,1590994799999,1085860.02475348,1753,62.20693800,593409.59591605,0
1590994800000,9537.66000000,9545.25000000,9536.65000000,9538.81000000,93.08493600,1590995099999,888190.86326218,1629,26.19810000,249968.94712706,0
1590995100000,9538.81000000,9554.91000000,9538.21000000,9553.11000000,132.95512700,1590995399999,1269409.57257952,1905,62.04749600,592392.32835276,0
1590995400000,9552.65000000,9555.00000000,9547.45000000,9553.89000000,89.50129100,1590995699999,854859.21092916,1829,44.28353800,422963.96278272,0
1590995700000,9553.94000000,9560.17000000,9550.00000000,9555.88000000,249.76602300,1590995999999,2386154.01854509,2497,145.97435800,1394586.28694967,0
1590996000000,9555.34000000,9557.99000000,9550.00000000,9557.89000000,164.96837800,1590996299999,1575980.29261451,2292,79.28109300,757434.27804110,0
1590996300000,9556.72000000,9567.61000000,9556.00000000,9559.50000000,160.69368100,1590996599999,1536631.90911498,2244,60.53137700,578833.05403417,0
1590996600000,9559.50000000,9567.65000000,9556.00000000,9562.89000000,90.92840000,1590996899999,869447.36844245,1497,51.60004500,493404.47232998,0
1590996900000,9562.01000000,9576.91000000,9561.03000000,9575.82000000,123.57505700,1590997199999,1182396.46167081,1816,59.12603600,565761.73797573,0
1590997200000,9575.84000000,9584.37000000,9570.86000000,9574.47000000,216.17169000,1590997499999,2070026.49081739,2083,78.21479300,749101.22214078,0
1590997500000,9574.99000000,9581.64000000,9556.30000000,9561.94000000,254.29360700,1590997799999,2433447.91328643,2287,53.91730300,515887.19934025,0
1590997800000,9561.94000000,9567.63000000,9555.91000000,9563.43000000,156.14488100,1590998099999,1492993.07317601,1905,78.86775800,754102.69325282,0
